index,road,id,model_type,condition,name,lat,lon,length,bridge_name,in,out
2236,N2,1002236,bridge,C,,24.1069722,91.2999441,497.0,MIRNAGAR R C C G BRIDGE,,
2237,N2,1002237,link,,,24.1071111,91.3000278,503.0,,,
2239,N2,1002239,bridge,A,,24.1121667,91.3048611,257.0,HARIA BOX CULVERT,,
2240,N2,1002240,link,,,24.1123889,91.3050556,748.0,,,
2242,N2,1002242,bridge,B,,24.1202771,91.3131667,495.0,UNDHIURA P C G BRIDGE,,
2243,N2,1002243,link,,,24.1238882,91.3163611,505.0,,,
2244,N2,1002244,bridge,B,,24.1268049,91.3189438,421.0,DOKHIN BEDHOSA,,
2245,N2,1002245,link,,,24.127070117465752,91.31909743458904,584.0,,,
2247,N2,1002247,bridge,A,,24.1356941,91.3234993,521.0,BEGURA 2 PC GIRDER BRIDGE,,
2248,N2,1002248,link,,,24.1359163,91.3235271,479.0,,,
2250,N2,1002250,bridge,A,,24.1416663,91.326916,277.0,BEGURGA 1 PC GIRDER BRIDGE,,
2251,N2,1002251,link,,,24.1418886,91.3272216,723.0,,,
2253,N2,1002253,bridge,B,,24.1448886,91.3366108,320.0,WORLDKOAL CULVERT,,
2254,N2,1002254,link,,,24.1449441,91.336833,680.0,,,
2256,N2,1002256,bridge,A,,24.1471663,91.345083,214.0,JAGADISHPUR,,
2257,N2,1002257,intersection,A,,24.1478608,91.3464441,164.0,,,
2258,N2,1002258,link,,,24.1481941,91.3466108,44.0,,,
2259,N2,1002259,bridge,C,,24.1498886,91.3474441,205.0,JAGADISPUR 3 BOX CULVERT,,
2260,N2,1002260,link,,,24.15225,91.3484441,373.0,,,
2262,N2,1002262,bridge,A,,24.15425,91.3487774,141.0,JAGADISHPUR 2 BOX CULVERT,,
2263,N2,1002263,bridge,A,,24.1574167,91.3488608,354.0,JOGIDISH PUR CULVERT,,
2264,N2,1002264,link,,,24.1592222,91.3489163,163.0,,,
2265,N2,1002265,bridge,A,,24.1607536901023,91.3489536829351,9.0,BELGOR BOX CULVERT,,
2266,N2,1002266,bridge,A,,24.1615,91.3489719,293.0,BELGOR CULVERT,,
2267,N2,1002267,link,,,24.1619722,91.3489997,49.0,,,
2268,N2,1002268,bridge,A,,24.1626046967032,91.3490109626373,7.2,NARONPUR CULVERT,,
2269,N2,1002269,bridge,A,,24.1635278,91.3490274,182.0,NARAONPUR CULVERT,,
2270,N2,1002270,bridge,B,,24.1655278,91.3490274,219.0,NANAR KHOLA CULVERT,,
2271,N2,1002271,bridge,A,,24.1686104,91.3490274,348.0,ITAKHOLA BOX CULVERT,,
2272,N2,1002272,link,,,24.1700827,91.3490274,256.0,,,
2274,N2,1002274,bridge,A,,24.1727493,91.3490552,194.0,ITAKHOLA CULVERT,,
2275,N2,1002275,bridge,A,,24.1748604,91.3490552,233.0,BANGADOBA,,
2276,N2,1002276,link,,,24.1790271,91.349833,573.0,,,
2278,N2,1002278,bridge,A,,24.1853469696,91.3503311376,596.0,BANGADOBA BOX CULVERT,,
