scenario_id,iteration,prob_A,prob_B,prob_C,prob_D,Average driving time,Worst bridge,Worst bridge delay,Probs
6,6,0.0,0.1,0.2,0.4,1246.7619446772842,MEGHNA BRIDGE,139.90761334515923,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,7,0.0,0.1,0.2,0.4,1114.4490131578948,KANCHPUR PC GIRDER BRIDGE,140.2160586183576,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,8,0.0,0.1,0.2,0.4,802.49609375,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,38.32466424713182,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,9,0.0,0.1,0.2,0.4,967.3686746987952,KANCHPUR PC GIRDER BRIDGE,139.84837695410718,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,0,0.05,0.1,0.2,0.4,1108.862407862408,KANCHPUR PC GIRDER BRIDGE,139.08774878237153,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,1,0.05,0.1,0.2,0.4,980.266291230893,Mostapur Bridge,37.670154852163165,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,2,0.05,0.1,0.2,0.4,1003.7186742118027,KANCHPUR PC GIRDER BRIDGE,140.0048071607198,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,3,0.05,0.1,0.2,0.4,1195.4612822647794,ASHIR CHAR (R),67.89767102588614,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,4,0.05,0.1,0.2,0.4,1359.1361301369864,KANCHPUR PC GIRDER BRIDGE,141.5605098310843,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,5,0.05,0.1,0.2,0.4,980.8930008045053,Daud Kandi Bridge,142.1601430320917,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,6,0.05,0.1,0.2,0.4,1003.0694108151736,Daud Kandi Bridge,140.22914151987837,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,7,0.05,0.1,0.2,0.4,1021.1496763754045,MEGHNA BRIDGE,140.65631567045023,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,8,0.05,0.1,0.2,0.4,803.6377151799687,BORO KUMIRA BRIDGE,37.8707543502217,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
7,9,0.05,0.1,0.2,0.4,1110.4093519278097,MUHURI BRIDGE,67.31022024173072,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
8,0,0.1,0.2,0.4,0.8,1999.9952061361457,Daud Kandi Bridge,140.50744659304303,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,1,0.1,0.2,0.4,0.8,1381.7696917808219,BOTTOL BOX CULVERT,38.186961386971376,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,2,0.1,0.2,0.4,0.8,1548.0008826125331,Daud Kandi Bridge,141.94681627743583,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,3,0.1,0.2,0.4,0.8,1699.589626933576,MEGHNA BRIDGE,141.84992796676397,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,4,0.1,0.2,0.4,0.8,1636.934293429343,Daud Kandi Bridge,139.7721234269403,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,5,0.1,0.2,0.4,0.8,1564.7798408488063,KANCHPUR PC GIRDER BRIDGE,141.9851250607766,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,6,0.1,0.2,0.4,0.8,1613.8705357142858,Daud Kandi Bridge,140.9180221004363,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,7,0.1,0.2,0.4,0.8,1347.3563512361466,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,38.40871798766369,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,8,0.1,0.2,0.4,0.8,1687.9228675136117,Daud Kandi Bridge,141.19686173417847,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
8,9,0.1,0.2,0.4,0.8,1712.5882891125343,MEGHNA BRIDGE,140.2914518276612,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}"
