,0,1
468,91.9669194,21.5288496
469,91.965467,21.5291989
470,91.9666322,21.5298006
471,91.9431267,21.533975
472,91.9422693,21.5346284
473,91.9393321,21.5360414
474,91.9407412,21.5353226
475,91.9348633,21.5382285
476,91.9344512,21.5384053
477,91.9344512,21.5384053
478,91.9631377,21.5325198
479,91.9658628,21.5314689
480,91.9419727,21.5307887
481,91.9607602,21.5327888
482,91.959123,21.5333974
483,91.9592129,21.5341708
484,91.9641958,21.5334694
485,91.964024,21.5321935
486,91.9608388,21.5332674
487,91.960648,21.5334191
488,91.9628483,21.5334008
489,91.9655789,21.5334037
490,91.9655687,21.5338241
491,91.9413405,21.5348612
492,91.9408028,21.5351029
493,91.9427515,21.5381471
494,91.9425576,21.5384961
495,91.96279,21.5325742
496,91.960286,21.533948
497,91.9594179,21.5364602
498,91.9597322,21.5381869
499,91.9658191,21.5317176
500,91.9391288,21.535704
501,91.9534791,21.5346048
502,91.9574337,21.5372051
503,91.9654136,21.53549
504,91.9589468,21.5363439
505,91.9582187,21.5375136
506,91.9369507,21.5373327
507,91.936802,21.5382958
508,91.9355606,21.5397881
509,91.9653564,21.5382029
510,91.9388929,21.5398631
511,91.944792,21.5396101
512,91.9576695,21.5372837
513,91.9655252,21.5414424
514,91.9344512,21.5384053
515,91.9368093,21.5415626
516,91.9368093,21.5415626
517,91.9368093,21.5415626
518,91.957108,21.544919
519,91.9267468,21.5495063
520,91.898774,21.5235129
521,91.9792383,21.5427999
522,91.9350143,21.5430794
523,91.968005,21.5429479
524,91.9655366,21.5417135
525,91.9657416,21.5446753
526,91.948251,21.5416681
527,91.9513266,21.5453407
528,91.9468233,21.5433549
529,91.9301116,21.5515426
530,91.9325992,21.5453874
531,91.9318092,21.5454013
532,91.9321231,21.5459318
533,91.9495735,21.5496194
534,91.9778487,21.5482977
535,91.9312144,21.5472979
536,91.957329,21.5481957
537,91.9637625,21.5489919
538,91.9651986,21.5491601
539,91.965499,21.5481963
540,92.0680101,21.555517
541,92.0717007,21.5728345
542,92.1438286,21.5751243
543,92.0630058,21.588946
544,92.1455987,21.580069
545,92.0668513,21.6150622
546,92.067731,21.6166057
547,92.1616009,21.5950876
548,91.96487,21.5513087
549,91.9646833,21.5524108
550,91.9300065,21.5520357
551,91.9654323,21.5583761
552,91.9832395,21.62326
553,91.9808954,21.6253717
554,91.9347565,21.7115381
555,91.9813962,21.6228071
556,92.0681066,21.6172366
557,92.1840449,21.6647147
558,92.1546725,21.7153446
559,92.0785184,21.6563252
560,92.0749838,21.65796
561,92.0780658,21.6814229
562,92.0817739,21.7193116
563,92.0766517,21.6820853
564,92.0754623,21.6837618
565,92.0748477,21.6840801
566,92.0734121,21.6844491
567,92.0732047,21.6845334
568,92.0713024,21.684289
569,92.0713024,21.684289
570,92.0740637,21.6844038
571,92.0745044,21.6836101
572,91.9807515,21.6246572
573,91.9449828,21.7159383
574,91.9482812,21.7162641
575,91.9552334,21.7220002
576,91.9502309,21.7164334
577,91.9554159,21.7225293
578,91.9496688,21.7195712
579,91.9556307,21.7348144
580,91.9656753,21.744687
581,91.979775,21.7521702
582,92.0604442,21.7588934
583,92.007868,21.7521359
584,91.9792246,21.7521811
585,92.0713024,21.684289
586,92.4211823,21.7351679
587,92.3128098,21.6520617
588,92.2113265,21.7539861
589,92.0765086,21.7596398
